Url,Likes,Dislikes,Views,Comments
https://www.youtube.com/watch?v=2Jo1So7NDXE,153573,43938,14383631,"['2 thằng này khá ^^', 'Cũng vừa làm việc xong, mở Zing lên chọn bài nghe và tôi quay lại đây để chúc mừng các bạn đã đạt top 1 Zing trong đêm. Cố gắng phát huy hơn nữa nha, chờ đợi những sản phẩm chất lượng tiếp theo đến từ các bạn', 'Ai vẫn trông những cánh hồng phai rụng rơi xơ xác\nAi vẫn mong những cánh cò bay về nơi bình yên\nVề đâu em tôi khi mới đôi mươi\nNgày biệt ly, ta chưa nói gì\nVề đâu tôi ơi thân xác hao gầy\nTừ khi em đi, còn đâu lý trí\nTrần gian đâu dễ kiếm được chân ái\nChỉ toàn muộn phiền ngang trái\nPhận nghèo nên đâu trách người ra đi\nRượu nồng nâng chén li bì\nNgười về nơi ấy chẳng hồi âm\nLệ tràn nơi tim đau thấm\nCòn vọng nơi tâm trí lời ân ái\nTrọn đời sao quên tình phai\nThân trai một đời ta cô quạnh\nNgàn dặm trường trách người bạc vô tâm\nDuyên tình đốt tro tàn vào thiên thai\nMộng đời phong lưu hóa mây mù có riêng ai\nThanh mai trúc mã không dành cho đôi ta\nĐành gửi phận này phiêu bạc dần trôi xa\nHồng nhan tri kỉ có mấy ai được trăm năm\nÝ trời đã định nhưng lòng vẫn không cam tâm\nThương em cô gái chân quê nay đã sang đò\nĐể bến mãi mong\nThương em thương mối lương duyên\nXa cơ lỡ hẹn tình ơi còn không\nVề đâu em tôi khi mới đôi mươi\nNgày biệt ly, ta chưa nói gì\nVề đâu tôi ơi thân xác hao gầy\nTừ khi em đi, còn đâu lý trí\nTrần gian đâu dễ kiếm được chân ái\nChỉ toàn muộn phiền ngang trái\nPhận nghèo nên đâu trách người ra đi\nRượu nồng nâng chén li bì\nNgười về nơi ấy chẳng hồi âm\nLệ tràn nơi tim đau thấm\nCòn vọng nơi tâm trí lời ân ái\nTrọn đời sao quên tình phai\nCánh chim nhẹ thấp thoáng bay đến nơi xa vời\nBình yên thấy không chân trời\nCó ai ngồi bên hiên mong dáng ai về\nLiệu mai sau mình còn có thể\nTrần gian đâu dễ kiếm được chân ái\nChỉ toàn muộn phiền ngang trái\nPhận nghèo nên đâu trách người ra đi\nRượu nồng nâng chén li bì\nNgười về nơi ấy chẳng hồi âm\nLệ tràn nơi tim đau thấm\nCòn vọng nơi tâm trí lời ân ái\nTrọn đời sao quên tình phai\nEm xa lìa ta xa lìa ta mãi xa\nNgày tháng ta quạnh hiu ôm niềm đau xót xa\nĐây cung đàn xưa giờ cũng đã vỡ đôi\nNguyệt cầm cứ mãi vang vọng hồi lưu phong', 'Đêm qua đi ngủ còn tab 11. Sáng dậy đã tab9. Cảm ơn các bạn đặc biệt là sky đã cày quốc đêm qua. Thật sự không có sky không thể vào được tab10  như vậy. Cảm ơn cả các bạn anti đã thức và cmt tăng tương tác nữa ạ.', 'Bài hát : Lệ Duyên Tình \n \nAi vẫn trông \nNhững cánh hồng phai rụng rơi xơ xác \nAi vẫn mong\nNhững cánh cò bay về nơi bình yên \nVề đâu em tôi khi mới đôi mươi \nNgày biệt ly ta chưa nói gì \nVề đâu tôi ơi thân xác hao gầy \nTừ khi em đi.. còn đâu lí trí…\nĐk \nTrần gian đâu dễ kiếm được chân ái \nChi toàn muộn phiền ngang trái \nPhần nghèo nên đâu trách người ra đi \nRượu nồng nâng chén li bì\nNgười về nơi ấy chẳng hồi âm \nLệ tràn nơi tim đau thấm \nCòn vọng nơi tâm trí lời ân ái\nTrọn đời sao quên tình phai…\n \nRap\nThân trai một đời ta cô quạnh \nNgàn dặm trường \nTrách người bạc vô tâm\nDuyên tình đốt tró tàn vào thiên thai \nMộng đời phong lưu \nHoá mây mù có riêng ai \nThanh mai trúc mã \nKhông dành cho đôi ta \nĐành gửi phận này \nPhiêu bạt dần trôi xa\nHồng nhan tri kỷ \nCó mấy ai được trăm năm \nÝ trời đã định \nNhưng lòng vẫn không cam tâm\n\nThương em cô gái chân quê\nNay đã sang đò để bến mãi mong \nThương em thương mối lương duyên \nXa cơ lỡ hẹn tình ơi còn không \nVề đâu em tôi khi mới đôi mươi \nNgày biệt ly ta chưa nói gì \nVề đâu tôi ơi thân xác hao gầy \nTừ khi em đi còn đâu lí trí…\nĐk \nTrần gian đâu dễ kiếm được chân ái \nChỉ toàn muộn phiền ngang trái \nPhận nghèo nên đâu trách người ra đi \nRượu nồng nâng chén li bì \nNgười về nơi ấy chẳng hồi âm\nLệ tràn nơi tim đau thấm \nCòn vọng nơi tâm trí lời ân ái \nTrọn đời sao quên tình phai \n\nCánh chim nhẹ thấp thoáng \nBay đến nơi xa vời \nBình yên thấy không chân trời \nCó ai ngồi bên hiên \nMong dáng ai về\nLiệu mai sau mình còn có thể \n\nTrần gian đâu dễ kiếm được chân ái \nChỉ toàn muộn phiền ngang trái \nPhận nghèo nên đâu trách người ra đi \nRượu nồng nâng chén li bì\nNgười về nơi ấy chẳng hồi âm\nLệ tràn nơi tim đau thấm\nCòn vọng nơi tâm trí lời ân ái \nTrọn đời sao quên tình phai \nEm xa lìa ta xa lì ta mãi xa\nNgày tháng ta quạnh hiu \nÔm niềm đau xót xa\nĐây cung đàn xưa \nGiờ cũng đã vỡ đôi\nNguyệt cầm cứ mãi vang vọng\nHồi lưu phong', 'Mình nghe nhạc .. vì nhạc hay.. vì tài năng .. còn chuyện riêng tư cá nhân của người khác mình không bận tâm..1 Like cho sự kết hợp này', 'Cảm ơn các fc đã ủng hộ ạ. Cả những bn là khán giả k thuộc fc nào nữa ạ. Thương.', 'Ai nói gì thì nói nhưng phải công nhận tài năng của K-ICM. Quả là 1 sự kết hợp hoàn hảo của K-ICM và Long Nón Lá. Blink', 'Thân trai một đời ta cô quạnh\nNgàn dặm trường trách người bạc vô tâm\nDuyên tình đốt tro tàn vào thiên thai\nMộng đời phong lưu hóa mây mù có riêng ai\nThanh mai trúc mã không dành cho đôi ta\nĐành gửi phận này phiêu bạc dần trôi xa\nHồng nhan tri kỉ có mấy ai được trăm năm\nÝ trời đã định nhưng lòng vẫn không cam tâm\nThương em cô gái chân quê nay đã sang đò\nĐể bến mãi mong\nThương em thương mối lương duyên\nXa cơ lỡ hẹn tình ơi còn không', 'Tui là người có lòng tự tôn dân tộc cao, ai giúp  quảng bá nhạc cụ dân tộc thì tui ủng hộ. Tui tin cậu này sẽ làm được.', 'Keys xin cảm ơn các bạn Sky và cảm ơn Fan anh Long đã ủng anh nhà Keys nhiều ạ', 'kẻ nghe nhạc vãng lai như mình. ko fan ko idol chỉ thấy hay thì nghe. p.s tâm sự nữa đim khi từ ""muộn rồi mà còn sao"" sang đây để lấy lại cảm xúc', 'nghe tin a long bị u.t buồn quá chúc a chóng khoẻ trở lại với đam mê ', 'Cảm ơn mn vẫn ủng hộ E ấy nhé K-ICM', 'Vừa nghe vừa đọc cmt của mọi người mà cảm thấy ấm lòng quá ạ <3. Cảm ơn mọi người nhiều lắm ạa. Mong mọi người nghe nhạc và cảm nhận bằng con tim ạa ^^', 'Em xa lìa ta, xa lìa ta, mãi xa\nNgàу tháng ta quạnh hiu, ôm niềm đau xót xa\nĐâу cung đàn xưa giờ cũng đã vỡ đôi\nNguуệt cầm cứ mãi vang vọng hồi lưu phong...', 'Cảm ơn các bạn sky nhiều ạ', 'MÌNH LÀ KEYS. RẤT CẢM ƠN CÁC BẠN FC KHÁC ĐÃ ỦNG HỘ KHÁNH VÀ LONG NÓN LÁ Ạ.', 'Cảm ơn các bạn Sky và các bạn fan của anh long nhiều ạ. Cảm ơn mọi người đã ủng hộ idol ạ. Cảm ơn mọi nhiều', 'Chúc mừng k-icm đã tìm được đối tác mới. Sẽ bùng nổ sắp tới.']"
https://www.youtube.com/watch?v=WfcnA46qkGc,18596,417,1481505,"['Karaoke Phù Dung nhé cả nhà: https://youtu.be/ipyK9rRvWDM \nCover đăng lên nhớ dẫn nguồn đầy đủ. Hoạt động kinh doanh vui lòng gửi mail hoặc alo quản lý: 08888.66667. Chúc cả nhà luôn vui vẻ <3', '♬ Lyrics:\nBên kia dòng sông hiên nhà ai đang còn thẹn thùng em thôn nữ quê\nBao năm qua ta cùng nhau xây mộng xinh mong rằng một ngày hai ta chung đường \nNgỡ đâu đời không êm đềm , bóng em dần phai theo chuyến đò \nBên hiếu bên tình ai thấu cho mình , phù dung xa mất rồi \n\nThương cho thân em hồng nhan , theo giàu sang để rồi nhận lại 2 chữ đắng cay\nThanh xuân kia chưa vội trao , sao người đem bỏ lại đoạn đường đang đi nơi này \nNhấp chén men say cho quên đời , chúc em bình yên lại nghẹn lời \nSắc hương em … chóng phai như nhành phù dung á ha \n\nTrần gian ai oán …. thương em kiếp hoa tàn nắng mưa chịu thay\nĐời người con gái …phũ phàng chốn phong trần mấy ai được may\nNắng xế ngã vàng, hoa kia đã tàn , em quay về tìm nơi bến quê \nThôn xưa chẳng màn , bao lâu vắng nàng , đời như vôi trắng xóa\nMười hai bến nước lênh đênh , biết nơi nào trắng đen đục trong . \nPhận hoa vô sắc lu mờ , bến em vào giống em đợi mong .\nDuyên ta lỡ làng , thôi ta với nàng ,trọn kiếp làm người dưng với nhau\nSố kiếp quá bẽ bàng , vô duyên chia rẽ nàng , mộng phù dung tan vỡ\n\nRap \nNhành hông phai tàn hương sắc \nRồi người cũng cất buớc ra đi \nĐể lại tui buồn hiu hắt\nRồi giọt sầu thấm uớt trên mi \nBên đây sông thi tĩnh lặng \nCòn người hạnh phúc bên kia sông \nNỗi đau này ai thấu con tim vỡ nát cả cõi lòng \nEm đi rồi buồn cả dòng sông \nBến đò xua ngay nào vẫn đợi \nNhánh lục bình trôi mãi trên sông\nMà không có nơi nào để tới \n\nCòn đâu nũa câu hện câu thề mà em đã trao ngay hôm qua \nEm miễm cười thật hạnh phúc rồi vội vàng lên xe hoa \nChắc là do duyên không phận \nNên duyên tình đành chia xa \nTui cam chịu ôm  tất cả \nđể người  hạnh phúc nơi phuơng xa \nChén tiêu sầu giờ đây với tui \nlà nguoi ban tâm giao \nUống cho quên đi sự bùn tủi \nRồi quên  luôn cả ngàn nỗi đau\n\nNhành phù dung chi moi  hom qua \nmà gio nay đã tàn úa phai\nEm đã chọn cách lên xe hoa \nđể dc giải thoát cho cả hai \nPhận nghèo hèn thi làm sao dám nghĩ tuong lai \nPhận công chúa thi phải chon hoàng tu để dc cung này sánh vai\n\nThương cho thân em hồng nhan , theo giàu sang để rồi nhận lại 2 chữ đắng cay\nThanh xuân kia chưa vội trao , sao người đem bỏ lại đoạn đường đang đi nơi này \nNhấp chén men say cho quên đời , chúc em bình yên lại nghẹn lời \nSắc hương em … chóng phai như nhành phù dung á ha \n\nTrần gian ai oán …. thương em kiếp hoa tàn nắng mưa chịu thay\nĐời người con gái …phũ phàng chốn phong trần mấy ai được may\nNắng xế ngã vàng, hoa kia đã tàn , em quay về tìm nơi bến quê \nThôn xưa chẳng màn , bao lâu vắng nàng , đời như vôi trắng xóa\nMười hai bến nước lênh đênh , biết nơi nào trắng đen đục trong . \nPhận hoa vô sắc lu mờ , bến em vào giống em đợi mong .\nDuyên ta lỡ làng , thôi ta với nàng ,trọn kiếp làm người dưng với nhau\nSố kiếp quá bẽ bàng , vô duyên chia rẽ nàng , mộng phù dung tan vỡ', 'Anh làm bài 2 ngày mới phát đi anh để em gặp crush ', 'Ảnh này trong thiện nữ VNG này ', 'Hóng ghê :v Nhìn cái ảnh thôi là đã muốn xem :3', 'Hóng quá nhìn ảnh đã thấy hay rồi', 'hay qua nghe chiu ko noi', 'Lại 1 siêu phẩm mới hay quá ... Men ơi', 'Nghe lần đầu chx cảm giác nghe lần 3 là   mún nghe nx ', 'Nghe r lại muốn nghe nữa ', 'Hay quá cả nhà ơi ', 'Nhạc hay hợp tâm trạng', 'Bì này nghe nhẹ cả tai luôn ^^', 'Đúng kỉu nhạc mình thích ️️️', 'Lại 1 siêu phẩm ra đời', 'Bài hát hay và có cốt truyện tuyệt vời', 'Hay quá trời ', 'Rất nhiều cảm xúc ...rất...hay..', 'Ảnh nền đẹp, mấy thứ sương khói màu đỏ cũng rất đẹp, lời bài hát hay. ', 'Hóng quá đi thôi']"
https://www.youtube.com/watch?v=YexFEXRzsbM,0,6,5323398,"['10 cuộc tình 9 lần hứa 6 lần hẹn và 1 lần 1 trọn vẹn .... Nhưng mà 8 lần đổ vỡ.. tình tiền tài gia đình  sự nghiệp, có thể chọn có thể làm nhưng k thể giữ đc người mình yêu nhất', 'Thấy em cười mắt trong ngần\nĐẹp như giữa ánh trăng đêm rằm\nMộng mơ tôi về ôm ấp đêm nằm\nĐến giữa đời có xa vời\nĐiều tôi muốn nói không nên lời\nNgắm em tôi nhìn từ phía xa xa vời\nNgày em biết nhớ thương một người là ngày tôi biết sắp xa em rồi\nRộn vang tiếng pháo hoa ngang trời cùng ai xứng đôi\nMột lần thương, vạn lần đau\nBuồn tôi đứng phía sau không lời\nBiết thương em cũng là lúc tôi mất người\nCó bao giờ thoáng trong lòng\nRẳng em cũng vấn vương mơ mộng\nRằng em thương, rằng em cũng động lòng\nTiếng em cười mắt trong ngời\nGiờ đây đã mãi xa tôi rồi\nNhớ thương nào lại tìm đến tôi giữa đời\nNgày em biết nhớ thương một người\nLà ngày tôi biết sắp xa em rồi\nRộn vang tiếng pháo hoa ngang trời cùng ai xứng đôi\nMột lần thương, vạn lần đau\nBuồn tôi đứng phía sau không lời\nBiết thương em cũng là lúc tôi mất người\nNgày em biết nhớ thương một người\nLà ngày tôi biết sắp xa em rồi\nRộn vang tiếng pháo hoa ngang trời cùng ai xứng đôi (cùng ai xứng đôi)\nMột lần thương, vạn lần đau\nBuồn tôi đứng phía sau không lời\nBiết thương em cũng là lúc tôi mất người\nBiết thương em cũng là lúc tôi mất người', 'Tôi từng nghĩ rằng chỉ có kẻ ngốc mới đi thích 1 bạn khác giới trong lúc đang học tập.\nNhưng ngày tôi đi học, tôi vô tình va vào ánh mắt nàng, ngồi phía sau nàng, đc nhìn cách nàng học, đc nhìn nàng nói chuyện, đc nhìn nàng cười, tôi đã bất trật ko biết tôi cũng đã cười theo nàng từ lúc nào. \nMong rằng đó sẽ là động lực để tôi phấn đấu có thể cùng nàng vô 1 trường đại học !', 'Rồi chúng ta sẽ tốt hơn thôi. Có lẽ sau này khi anh có tất cả nhưng không có được em. Yêu em rất nhiều', 'Biết nay ngày gì không?\n...\nNgày em biết nhớ thương một người\nLà ngày tôi biết sắp xa em rồi\nRộn vang tiếng pháo hoa ngang trời\nCùng ai xứng đôi', 'tình iu nào cũng thề có hạnh phúc thì phải có đau buồn , mình đã iu người ta nhưng người ta ko iu mình có cố chấp   cũng như ko mà thui , cảm ơn em cho anh cách buông bỏ và chấp nhận , mong em hạnh phúc đời còn lại', 'Ngày em biết nhớ thương một ng là ngày tôi biết sắp xa em r \nRộn vang tiếng pháo hoa ngang tròi cùng ai sánh đôi\nMột lần thương vạn lần đau buồn tôi đứng phía sau ko lời\nBiết thương em \nCũng là lúc tôi mất người\nThấy em cười mắt trong ngần\nĐẹp như giữa ánh trăng đêm rằm \nMộng mơ tôi về ôm ấp,đêm rằm\nĐến giữa đời có xa vời \nĐiều tôi muốn nói ko nên lời \nNgắm em tôi nhìn về phía xa,xa vời.\nCó bao giờ thoáng trong lòng \nRằng em cũng vấn vương mơ mộng\nRằng em thương \nRằng em cũng đọng lòng\nTiếng em cười mắt trong ngời\nGiờ đây đã mãi xa tôi rồi\nNhớ thương nào lại tìm đến tôi giữa đời!', 'Lúc chia tay người tôi đã từng thương cũng toàn nghe bài này. Bởi đến bây giờ vẫn nghe và cảm xúc dành cho ng vẫn còn như lúc đó', 'Ko phải con trai bên ngoài vui mà bên trong nó buồn chỉ cần người bên cạnh và an ủi nó ', 'TÔI ĐÁNH GIÁ BÀI NÀY LÀ 10/10 VÌ HAY QUÁ', 'Có những chuyện không muốn mà vẫn phải làm gọi là tránh nhiệm. Có những chuyện rất muốn làm nhưng không bao giờ làm được gọi là số phận.', 'nghe là thấm lắm luôn', 'Không muốn họ rời đi nhưng phải làm cách nào để níu giữ họ lại chứ.. ngày tôi nhận ra tôi có tình cảm với một người bạn thân của tôi thì người đó lại nói là người đó không thích tôi chỉ coi tôi là một người bạn và sau đó tôi nhận ra tôi đã mất đi một tình bạn đẹp, người đó rời đi mãi mãi', 'Một lần thương van lần đau buồn tôi đừng phía sau không lời ', 'Bài này mà a mr. Siro hát chắc cũng đỉnh đấy', '1 cuộc tình chim đắm toàn niềm vui và sự cảm thông lấn nhau bảo vệ nhau là cuộc tình đẹp còn hơn 10 cuộc tình chỉ để lợi dụng lấn nhau lm trò đùa cho người khác đó là cuộc tình lm ko biết bảo nhiều bạn nam nữ cảm thấy rất đau điều đó ko ai muốn cho nên mình rút ra đc là nên yêu những người yêu mình hơn những người mik yêu', '3 năm 5 năm hay 10 năm cũng vậy đến giờ tôi vẫn không thể quên được câu nói này chỉ khác là không dùng nó cho sự tiêu cực nữa thoi ', '""Ngày anh biết nhớ thương một người là ngày em biết sắp xa anh rồi""\nEm ích kỷ không thể chúc anh hạnh phúc bên chị ấy.\nNhưng em sẽ luôn im lặng dõi theo anh, mong anh một đời bình an.', 'Quả tranh ko chua cũng chát \nTình yêu đẹp đến mấy cũng vẫn phải tan ', 'Rồi mọi chuyện sẽ ổn thôi. Đên lúc tôi thành công thì có lẽ e lại k có được tôi rồi.']"
